Color,mean,median,var,std,max,min,count
abyss gray meta,40726.0,40726.0,,,40726.0,40726.0,1
abyss gray metallic,44975.0,44975.0,5346450.0,2312.23917448001,46610.0,43340.0,2
agate black,61051.8,59255.0,154988812.61818182,12449.45029381546,81402.0,40550.0,45
agate black metallic,59654.15,58795.0,167767778.91063052,12952.52017603642,104580.0,38479.0,75
antimatter blu,56150.0,56150.0,,,56150.0,56150.0,1
antimatter blue,59376.15,58270.0,157619637.64102566,12554.665970906022,78550.0,40895.0,13
antimatter blue metallic,59983.49,57940.0,101797391.19831932,10089.469321937568,81635.0,42355.0,35
anvil,73065.0,73065.0,1980050.0,1407.1424945612296,74060.0,72070.0,2
anvil clearcoat,57153.0,57153.0,307371218.0,17532.00553273926,69550.0,44756.0,2
avalanche,70795.67,73997.0,30745605.33333332,5544.871985297164,73997.0,64393.0,3
balck,59995.0,59995.0,,,59995.0,59995.0,1
beige,19848.0,19848.0,,,19848.0,19848.0,1
billet,69919.0,69919.0,,,69919.0,69919.0,1
billet silver,58070.81,60702.5,182942553.43675748,13525.625805734739,86050.0,32085.0,54
billet silver met,55960.0,55960.0,322580000.0,17960.512242138306,68660.0,43260.0,2
billet silver metallic clear coat,33433.0,33433.0,,,33433.0,33433.0,1
billet silver metallic clear-coat  paint,57851.43,59055.0,164459522.61904764,12824.177268700229,78535.0,35485.0,7
billet silver metallic clearco,47402.14,46310.0,187739598.9010989,13701.810059298696,72225.0,32950.0,14
billet silver metallic clearcoat,47437.12,45842.0,139711675.6980225,11819.969361128755,87780.0,27464.0,60
black,49539.67,45750.0,281898367.3349499,16789.829282483784,124910.0,12000.0,475
black clearcoat,40353.67,43991.0,120908870.33333331,10995.85696220778,49070.0,28000.0,3
black forest green pearlcoat,50342.0,50342.0,2000000.0,1414.213562373095,51342.0,49342.0,2
black granite metallic,13550.0,13550.0,,,13550.0,13550.0,1
blue,46925.98,42500.0,208628432.0431032,14443.975631490908,84435.0,18490.0,207
blue flame metallic,15888.0,15888.0,,,15888.0,15888.0,1
blue granite metallic,18649.0,16977.0,58271713.0,7633.591094629054,26980.0,11990.0,3
blue jeans,44760.0,44760.0,5152050.0,2269.8127676088175,46365.0,43155.0,2
blue jeans metallic,43880.07,41691.5,138648449.91758245,11774.90763945019,76455.0,26615.0,14
blue streak pearlcoat,36882.8,32560.0,224491236.70000002,14983.031625809244,59799.0,19160.0,5
bright silver,33997.0,33997.0,,,33997.0,33997.0,1
bright silver clearcoat metallic,28000.0,28000.0,,,28000.0,28000.0,1
bright silver m,23165.0,23165.0,,,23165.0,23165.0,1
bright silver metallic clearcoat,38711.29,38395.0,58506303.9047619,7648.941358433983,48794.0,29900.0,7
bright white,51666.87,53940.0,191623825.6195699,13842.82578159423,81430.0,23999.0,119
bright white clea,48987.22,44685.0,144298904.44444445,12012.447895597485,73919.0,36919.0,9
bright white clear-coat  paint,55314.79,52813.5,215928146.02747256,14694.493731580975,87775.0,34420.0,14
bright white clearcoat,49925.91,47825.0,173781893.70834765,13182.636068266,87495.0,17977.0,265
brilliant black crystal pearlcoat,40440.58,35988.0,139223259.53787878,11799.290637062839,68881.0,29995.0,12
bronze,59998.0,59998.0,,,59998.0,59998.0,1
bronze fire metallic,65888.0,65888.0,2000000.0,1414.213562373095,66888.0,64888.0,2
