Transmission,mean,median,var,std,max,min,count
10-Speed A/T,51056.95,46865.0,249074985.5719182,15782.109667972725,89565.0,25895.0,135
10-Speed Automatic,49561.67,46442.0,196884059.3386666,14031.538024702302,116815.0,24265.0,1626
10-Speed Automatic w/OD,48287.0,48287.0,180000.0,424.26406871192853,48587.0,47987.0,2
10-Speed SelectShift Automatic Transmission,44178.07,42567.5,33662572.840659335,5801.94560821276,63375.0,39370.0,14
4-Speed A/T,27576.67,31540.0,86050932.33333334,9276.364176407336,34213.0,16977.0,3
4-Speed Automatic,22361.67,25499.0,30479781.33333333,5520.849693057521,25599.0,15987.0,3
4-Speed Automatic with Overdrive,16289.44,16674.0,12828698.77777778,3581.71729450801,21995.0,11799.0,9
4-Speed HD Automatic w/OD,8987.0,8987.0,,,8987.0,8987.0,1
446 ELEC 6-SPEED AUTO W/TOW MODE,39710.0,39710.0,,,39710.0,39710.0,1
44G 10-SPEED AUTOMATIC,63855.0,63855.0,,,63855.0,63855.0,1
44G ELEC 10-SPEED AUTO W/TOW MODE,42455.0,43085.0,2360916.666666668,1536.527470195918,43860.0,40130.0,7
44S 6-SPEED AUTOMATIC TRANS G,43638.57,42625.0,13365872.619047614,3655.9366267822,51750.0,40595.0,7
5-Speed Automatic Electronic with Overdrive,15704.0,14623.0,5918691.0,2432.83599940481,18490.0,13999.0,3
"6-SPEED AUTOMATIC, ELECTRONICALLY CONTROLLED",28995.0,28995.0,,,28995.0,28995.0,1
6-Speed A/T,52023.18,57085.0,318686549.5922807,17851.794016072465,87780.0,17985.0,76
6-Speed Automatic,53908.18,52670.0,274744540.91362655,16575.41978091736,84640.0,16000.0,223
6-Speed Automatic 68RFE Transmission,68434.27,67577.5,75571074.88984072,8693.162536720496,86625.0,54215.0,108
6-Speed Automatic Aisin AS69RC HD Transmission,72934.45,72362.5,102412998.39323476,10119.93075041696,93065.0,57154.0,44
6-Speed Automatic Electronic,33194.07,33000.0,66575266.04349099,8159.366767310499,52875.0,16876.0,83
6-Speed Automatic Electronic with Overdrive,36733.25,35500.0,47396708.82596524,6884.526768483454,49780.0,19363.0,117
6-Speed Automatic HD Electronic with Overdrive,37922.5,37975.0,90627300.63636369,9519.837216904692,49829.0,17500.0,12
6-Speed Automatic w/OD,42707.0,43987.0,143106222.2222222,11962.701292861166,65987.0,24987.0,10
6-Speed Shiftable Automatic,26987.0,26987.0,,,26987.0,26987.0,1
8 speed automatic,117750.0,117750.0,,,117750.0,117750.0,1
8-Speed A/T,49362.27,49900.0,86838658.7503161,9318.726240764674,71560.0,20949.0,113
8-Speed Auto (8Hp75-Lcv),70534.0,70534.0,,,70534.0,70534.0,1
8-Speed Automatic,44685.59,42505.0,145909554.98790365,12079.302752555863,130555.0,21000.0,644
8-Speed Automatic 845RE  Transmission,28616.83,27375.0,9481236.966666665,3079.1617311642894,34880.0,26999.0,6
8-Speed Automatic 850RE Transmission,37422.5,38162.0,26530712.857142843,5150.797303053465,50010.0,23999.0,64
8-Speed Automatic 8HP70 Transmission,41720.13,42960.0,18574761.59204439,4309.844729458869,48890.0,30965.0,47
8-Speed Automatic 8HP75 Transmission,56770.66,54995.0,71671748.76784663,8465.916888786862,73315.0,32995.0,226
8-Speed Automatic 8HP75-LCV Transmission,62749.58,63195.0,93158574.81060606,9651.868980182338,74060.0,47245.0,12
8-Speed Automatic 8HP95 Transmission,105932.0,105932.0,524685618.0,22906.01706975702,122129.0,89735.0,2
8-Speed Automatic w/OD,36701.29,35987.0,27571428.57142857,5250.850271282601,44987.0,27987.0,7
8-Speed Automatic with Overdrive,43812.29,42000.0,24057077.59558823,4904.801483810352,57995.0,36994.0,17
A,54625.0,54230.0,232427334.48275864,15245.567699589237,78575.0,24795.0,30
A/T,42040.33,45597.5,412026118.6666667,20298.42650716224,65495.0,18952.0,6
AISIN 6-Speed Automatic Transmission,69996.0,66680.0,122210650.4,11054.8926001115,83205.0,54449.0,6
AUTO,61390.71,68170.0,159736920.23809522,12638.707221788754,68300.0,35525.0,7
AUTOMATIC,45883.74,43140.0,176914874.58339912,13300.93510184149,81665.0,12980.0,242
Aisin 6-Speed Automatic,72771.67,75000.0,90863242.42424244,9532.221274406214,89035.0,56390.0,12
Allison 1000 6-Speed Automatic,56385.5,55247.5,80171439.31578942,8953.850530123307,73995.0,39995.0,20
Automatic,47947.28,45055.0,191180416.09059256,13826.800645506992,108410.0,9684.0,2545
Automatic 10-Speed,43425.0,43425.0,,,43425.0,43425.0,1
ELECTRONIC 10-SPEED SELECTSHIFT AUTO,39995.0,39995.0,0.0,0.0,39995.0,39995.0,2
Electronic Ten-Speed Automatic Transmission,45995.62,43960.0,112772129.18718924,10619.422262401531,81402.0,29110.0,138
Hybrid Electronic Ten-Speed Automatic Transmission,66397.0,69761.5,86649439.33333334,9308.568060305159,73380.0,52685.0,4
Manual,16489.5,16489.5,112335060.5,10598.82354320516,23984.0,8995.0,2
Shiftable Automatic,39078.38,40995.0,29071835.54579094,5391.830444829561,47815.0,23724.0,47
TorqShift 10-speed Automatic Transmission,60481.78,59705.0,71150306.67417414,8435.064117964614,80491.0,42185.0,37
TorqShift 5-Speed Automatic with Overdrive,26704.6,27690.0,51035243.300000004,7143.895526951665,36995.0,19848.0,5
TorqShift 6-Speed Automatic,59149.06,61714.0,198295124.9682092,14081.730183759708,85995.0,26500.0,71
TorqShift 6-Speed Automatic with Overdrive,43753.0,50000.0,211770391.33333334,14552.33284849317,58995.0,21000.0,7
TorqShift Heavy-Duty 6-speed SelectShift Automatic,42030.0,42000.0,6824909.090909088,2612.4526963964513,45425.0,37470.0,12
automatic,44803.35,44426.5,103956900.14534426,10195.925663976972,86180.0,25325.0,72
automatic w/od,43288.33,50988.0,505059632.3333333,22473.531817080584,60900.0,17977.0,3
