Vehicle Trim,mean,median,var,std,max,min,count
2WD Base,23984.0,23984.0,,,23984.0,23984.0,1
LT Pickup 4D 5 3/4 ft,16977.0,16977.0,,,16977.0,16977.0,1
LT w/2LT,13550.0,13550.0,,,13550.0,13550.0,1
LT3,11990.0,11990.0,,,11990.0,11990.0,1
"Laramie ""Dealer Demo""",54115.0,54115.0,,,54115.0,54115.0,1
Laramie 4x2 Crew Cab 5'7 Box,33433.0,33433.0,,,33433.0,33433.0,1
Laramie Power Wagon,45000.0,45000.0,,,45000.0,45000.0,1
Lariat 4WD Crew Cab 6.75 Box,59987.0,59987.0,,,59987.0,59987.0,1
LT LT1,26987.0,26987.0,,,26987.0,26987.0,1
Lariat 4WD Crew Cab 6.75' Box,61329.0,61329.0,,,61329.0,61329.0,1
Lariat Crew Cab 8' Bed,28888.0,28888.0,,,28888.0,28888.0,1
Lariat SCA BLACK WIDOW,99707.0,99707.0,,,99707.0,99707.0,1
"Limited ""Dealer Demo""",62981.0,62981.0,,,62981.0,62981.0,1
Limited 2WD SuperCrew 5.5' Box,75525.0,75525.0,,,75525.0,75525.0,1
Limited 4x4 Crew Cab 8 Box,70534.0,70534.0,,,70534.0,70534.0,1
Limited 4x4 Mega Cab 64 Box,75995.0,75995.0,,,75995.0,75995.0,1
Longhorn 4x4 Crew Cab 64 Box,59995.0,59995.0,,,59995.0,59995.0,1
Lariat Black Widow,106567.0,106567.0,,,106567.0,106567.0,1
PLATINUM 4WD CREW CAB 6.7,74350.0,74350.0,,,74350.0,74350.0,1
LT Extended Cab 2WD,26888.0,26888.0,,,26888.0,26888.0,1
LT Crew Cab 2WD,33888.0,33888.0,,,33888.0,33888.0,1
FB,43854.0,43854.0,,,43854.0,43854.0,1
KING RANCH,74110.0,74110.0,,,74110.0,74110.0,1
King Ranch 4WD Crew Cab 6.75 Box,67993.0,67993.0,,,67993.0,67993.0,1
LARIAT 2WD CC160,64000.0,64000.0,,,64000.0,64000.0,1
LARIAT 2WD SUPERCREW 5.5,57375.0,57375.0,,,57375.0,57375.0,1
LARIAT 2WD SuperCrew 5' Box,34995.0,34995.0,,,34995.0,34995.0,1
LARIAT 4WD CC176,81815.0,81815.0,,,81815.0,81815.0,1
LT Crew Cab 4WD,64888.0,64888.0,,,64888.0,64888.0,1
LARIAT 4WD CREW CAB 8' BOX,68924.0,68924.0,,,68924.0,68924.0,1
LARIAT 4WD SUPERCREW 5.5,68900.0,68900.0,,,68900.0,68900.0,1
LARIAT 4WD SUPERCREW 5.5' BOX,48983.0,48983.0,,,48983.0,48983.0,1
LARIAT SPT APPEAR PKG,67490.0,67490.0,,,67490.0,67490.0,1
LARIAT VAL PKG,70320.0,70320.0,,,70320.0,70320.0,1
LIMITED 4WD SC145,79540.0,79540.0,,,79540.0,79540.0,1
LIMITED LONGHORN CREW CAB 4X4 6',80230.0,80230.0,,,80230.0,80230.0,1
LIMITED LONGHORN CREW CAB 4X4 8',86715.0,86715.0,,,86715.0,86715.0,1
LARIAT 4WD Crew Cab 6.75' Box,81665.0,81665.0,,,81665.0,81665.0,1
PLATINUM 4WD CREW CAB 6.75' BOX,66648.0,66648.0,,,66648.0,66648.0,1
PLATINUM 4WD SC157,73500.0,73500.0,,,73500.0,73500.0,1
PLATINUM 4WD SUPERCREW 5.5' BOX,46040.0,46040.0,,,46040.0,46040.0,1
XL 4WD SUPERCREW 6.5 BOX,49280.0,49280.0,,,49280.0,49280.0,1
XL 4WD SuperCrew 5' Box,35980.0,35980.0,,,35980.0,35980.0,1
XL 4WD Supercab 8 Box,32993.0,32993.0,,,32993.0,32993.0,1
XL Crew Cab 2WD,38888.0,38888.0,,,38888.0,38888.0,1
XL Regular Cab 2WD 8' Bed,17888.0,17888.0,,,17888.0,17888.0,1
XL Regular Cab 2WD 8' Box,26888.0,26888.0,,,26888.0,26888.0,1
XL Super Cab 2WD,34888.0,34888.0,,,34888.0,34888.0,1
XL 4WD SUPERCREW 5.5 BOX,48305.0,48305.0,,,48305.0,48305.0,1
XLT 4WD CC 160,62530.0,62530.0,,,62530.0,62530.0,1
XLT 4WD SC 164,51965.0,51965.0,,,51965.0,51965.0,1
XLT 4WD Supercrew 5.5 Box,39993.0,39993.0,,,39993.0,39993.0,1
XLT 4x4 SuperCrew Cab Styleside ,38801.0,38801.0,,,38801.0,38801.0,1
XLT CC 4X4 145,39880.0,39880.0,,,39880.0,39880.0,1
XLT Crew Cab 4WD 8' Bed,59888.0,59888.0,,,59888.0,59888.0,1
XLT Regular Cab 2WD,15888.0,15888.0,,,15888.0,15888.0,1
Z71 Crew Cab 4WD,34888.0,34888.0,,,34888.0,34888.0,1
XLT 4WD CC160,70910.0,70910.0,,,70910.0,70910.0,1
XL 4WD SUPERCAB 6.5' BOX,31430.0,31430.0,,,31430.0,31430.0,1
XL 4WD SC157,49520.0,49520.0,,,49520.0,49520.0,1
XL 4WD CC160,50360.0,50360.0,,,50360.0,50360.0,1
POWER WAGON,69550.0,69550.0,,,69550.0,69550.0,1
PWR GLASS HTD SDVIEW MIRS,44870.0,44870.0,,,44870.0,44870.0,1
Platinum 2WD SuperCrew 5.5' Box,49995.0,49995.0,,,49995.0,49995.0,1
Platinum Crew Cab 4WD,69888.0,69888.0,,,69888.0,69888.0,1
ROUSH,55675.0,55675.0,,,55675.0,55675.0,1
"Rebel ""Pending Sale""",67480.0,67480.0,,,67480.0,67480.0,1
Rocky Ridge,81402.0,81402.0,,,81402.0,81402.0,1
STX APPEAR PKG,36310.0,36310.0,,,36310.0,36310.0,1
SYNC 3,39980.0,39980.0,,,39980.0,39980.0,1
Silverado Custom Trail Boss,42894.0,42894.0,,,42894.0,42894.0,1
TOW TECH PKG,67330.0,67330.0,,,67330.0,67330.0,1
TRADESMAN CREW CAB 4X2 6'4 BOX,33995.0,33995.0,,,33995.0,33995.0,1
TRADESMAN HFE QUAD CAB 4X2 6'4 B,32999.0,32999.0,,,32999.0,32999.0,1
Tradesman/Express 4x4 Quad Cab 1,23165.0,23165.0,,,23165.0,23165.0,1
Tradesman/Express 5.7L V8 HEMI M,23777.0,23777.0,,,23777.0,23777.0,1
Trail Boss Custom,43710.0,43710.0,,,43710.0,43710.0,1
WARLOCK CREW CAB 4X2 5'7 BOX,48890.0,48890.0,,,48890.0,48890.0,1
F-450 Platinum,93305.0,93305.0,,,93305.0,93305.0,1
F-350 XLT,71730.0,71730.0,,,71730.0,71730.0,1
sport,44565.0,44565.0,,,44565.0,44565.0,1
F-350 Lariat,73115.0,73115.0,,,73115.0,73115.0,1
2WD Crew Cab 153.0 LTZ w/1LZ,36993.0,36993.0,,,36993.0,36993.0,1
Crew Cab 126.0 WB 1SB LS Z85,8995.0,8995.0,,,8995.0,8995.0,1
4WD Elevation,38940.0,38940.0,,,38940.0,38940.0,1
2WD SuperCrew 145 XL,27616.0,27616.0,,,27616.0,27616.0,1
2WD SuperCrew 145 XLT,32652.0,32652.0,,,32652.0,32652.0,1
2WD WT,25434.0,25434.0,,,25434.0,25434.0,1
BLK APPEAR PKG,37100.0,37100.0,,,37100.0,37100.0,1
BLACK WIDOW,84279.0,84279.0,,,84279.0,84279.0,1
BIG HORN/LONE STAR,46690.0,46690.0,,,46690.0,46690.0,1
2WD Z71,28263.0,28263.0,,,28263.0,28263.0,1
360 - DEGREE CAMERA PACKAGE,76745.0,76745.0,,,76745.0,76745.0,1
2WD Crew Cab 147 LT,48835.0,48835.0,,,48835.0,48835.0,1
360 DEGREE CAMERA PACKAGE,55680.0,55680.0,,,55680.0,55680.0,1
4WD Crew Cab 147 LTZ,61460.0,61460.0,,,61460.0,61460.0,1
4WD WT,25500.0,25500.0,,,25500.0,25500.0,1
4WD Supercrew 145 Lariat,21995.0,21995.0,,,21995.0,21995.0,1
4WD Crew Cab 149 Laramie,39995.0,39995.0,,,39995.0,39995.0,1
4WD Supercrew 145 FX4,25995.0,25995.0,,,25995.0,25995.0,1
4WD SuperCrew 145 XLT,26615.0,26615.0,,,26615.0,26615.0,1
4WD SuperCrew 145 Lariat,29356.0,29356.0,,,29356.0,29356.0,1
F-350 XL,63940.0,63940.0,,,63940.0,63940.0,1
4WD Crew Cab 153.7 Denali,61995.0,61995.0,,,61995.0,61995.0,1
4WD Crew Cab 159 LT,64230.0,64230.0,,,64230.0,64230.0,1
4WD Crew Cab 167.7 LTZ,39995.0,39995.0,,,39995.0,39995.0,1
4WD Crew Cab 147 LT w/1LT,49915.0,49915.0,,,49915.0,49915.0,1
E: 2.7L V6 ECOBOOST,45475.0,45475.0,,,45475.0,45475.0,1
Big Horn Crew Cab 4WD,27488.0,27488.0,,,27488.0,27488.0,1
2WD Crew Cab 128 LT,36985.0,36985.0,,,36985.0,36985.0,1
