VIN,price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
3GCUYEEL8LG244537,72000.0,201909,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Red,RST
3GCPWBEK2MG268102,34220.0,210982,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,Custom
1GCPWCED1MZ218282,40950.0,210714,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
1GCPWCED0MZ218354,40950.0,210713,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
3GCUYEEL2MG171084,78155.0,210884,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Black,RST
1GCPWBEK7MZ271061,34220.0,210997,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,Custom
3GCPWAEHXMG239509,Call for Pricing,210846,Crew,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,White,WT
1GCPWCED8MZ218442,40950.0,210721,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
1GCPWCED8MZ218344,40950.0,210705,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
1GCPWCED6MZ218424,40950.0,210720,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
3GCPWBEK5MG263265,34220.0,210985,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
1GCPWBEK1MZ271976,34220.0,211013,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,Custom
1GCPWBEK4MZ276119,34715.0,211025,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Red,Custom
3GCUYEED4MG268456,45590.0,211018,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Silver,RST
3GCUYEED6MG268815,49280.0,211019,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Black,RST
1GCPWCEK1MZ286340,38050.0,211033,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
1GCUYDED6MZ274768,48580.0,211014,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Blue,LT
1GCPWBEK4MZ273530,34220.0,211024,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,Custom
1GCPWBEK9MZ270820,34220.0,210998,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
1GCPWBEK1MZ273002,34220.0,211023,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,Custom
1GCPWBEK4MZ276363,34220.0,211032,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Red,Custom
1C6RR6GT8MS520481,44885.0,2111100,Quad,4x2,SRW,Gasoline,Automatic,LIGHT ARTIC GRAY,Warlock
1C6RR6GTXMS520482,38919.0,2111090,Quad,4x2,SRW,Gasoline,Automatic,BRIGHT WHITE CLEA,Warlock
1C6RREFTXMN631365,48135.0,2111095,Crew,4x2,SRW,Gasoline,Automatic,GRANITE CRYSTAL,Big Horn
1C6SRFHT5KN772250,59919.0,21012SG,Crew,4x4,SRW,Gasoline,Automatic,WHITE,Limited
1C6RR7LM5HS878616,34419.0,20951BB,Crew,4x4,SRW,Diesel,Automatic,Granite Crystal Metallic Clearcoat,Big Horn
1C6SRFLT1KN572117,47419.0,20893BB,Crew,4x4,SRW,Gasoline,Automatic,RED,Rebel
1C6SRFJM0MN603243,69919.0,2111044,Crew,4x4,SRW,Diesel,Automatic,Delmonico,Laramie
1C6SRFHM2MN665071,71919.0,2111135,Crew,4x4,SRW,Diesel,Automatic,LIGHT ARTIC GRAY,Limited
1C6SRFJT1MN655763,59919.0,2111085,Crew,4x4,SRW,Gasoline,Automatic,HYDRO BLUE PEARL,Laramie
3C63RRGL2JG330704,55919.0,20643BB,Crew,4x4,DRW,Diesel,Automatic,Bright White Clearcoat,Tradesman
1C6SRFJT8MN511143,67919.0,2111008,Crew,4x4,SRW,Gasoline,Automatic,C,Laramie
1C6SRFJM7MN603241,69919.0,2111045,Crew,4x4,SRW,Diesel,Automatic,Billet,Laramie
1C6SRFHT1LN171595,69919.0,20947PG,Crew,4x4,SRW,Gasoline,Automatic,BLACK,Limited
1C6RREFT2MN631361,48035.0,2111097,Crew,4x2,SRW,Gasoline,Automatic,DELMONICO RED PEA,Big Horn
1C6RR6GT1MS520483,44685.0,2111078,Quad,4x2,SRW,Gasoline,Automatic,BRIGHT WHITE CLEA,Warlock
1C6SRFJTXMN655759,59919.0,2111082,Crew,4x4,SRW,Gasoline,Automatic,BRIGHT WHITE CLEA,Laramie
1C6RR6KMXKS749547,30919.0,20978BB,Crew,4x2,SRW,Diesel,Automatic,WHITE,Tradesman
1C6RREFT4MN631359,47935.0,2111096,Crew,4x2,SRW,Gasoline,Automatic,BRIGHT WHITE CLEA,Big Horn
