VIN,price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim,Mileage,Cab-to-Axle
1FTEW1EB9MFA39242,42230.0,59193,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
5TFRY5F13EX161633,30995.0,80135,Double,4x2,,Gasoline,Automatic,Gray,C,64237,
1FTEW1EP8MFA39258,43895.0,59453,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTRF3BT2MEC32249,55470.0,59395,Regular,4x4,SRW,Diesel,TorqShift 10-speed Automatic Transmission,Oxford White,STX,,56
1FTEW1EP7MFA39249,45225.0,59144,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTER4FH1MLD10856,37950.0,59626,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XLT,,
1FTRF3CT1MEC08491,54115.0,59104,Regular,4x2,DRW,Diesel,TorqShift 10-speed Automatic Transmission,Oxford White,STX,,56
1FTRF3CT3MEC08492,54115.0,59116,Regular,4x2,DRW,Diesel,TorqShift 10-speed Automatic Transmission,Oxford White,STX,,56
1FTMF1CB6MKD60712,32470.0,59766,Regular,4x2,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTMF1CB3MKD60716,32470.0,59860,Regular,4x2,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTFW1E89MFA53747,62300.0,59997,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Smoked Quartz,Lariat,,
1FT7W2A68MEC32253,41590.0,59044,Crew,4x2,SRW,Gasoline,TorqShift Heavy-Duty 6-speed SelectShift Automatic,Oxford White,XL,,56
1FTBF2A65LEE37294,37470.0,58510,Regular,4x2,SRW,Gasoline,TorqShift Heavy-Duty 6-speed SelectShift Automatic,Oxford White,XL,,56
1FTEW1EP6MFA54048,43895.0,59451,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FT7X2B6XMED31023,44115.0,60006,Super,4x4,SRW,Gasoline,TorqShift Heavy-Duty 6-speed SelectShift Automatic,Oxford White,XL,,56
1FT7W2A64MEC32251,41590.0,59043,Crew,4x2,SRW,Gasoline,TorqShift Heavy-Duty 6-speed SelectShift Automatic,Oxford White,XL,,56
1FTER1FH6MLD11340,32015.0,59607,Super,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FT8X3B60LED61088,51305.0,58079,Super,4x4,SRW,Gasoline,TorqShift 10-speed Automatic Transmission,Oxford White,XLT,,56
1FT7W2BT9MEC22173,59705.0,59201,Crew,4x4,SRW,Diesel,TorqShift 10-speed Automatic Transmission,Iconic Silver,STX,,56
1FTEW1EP7MFA29207,45720.0,59127,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTEW1EP3MFA29205,45720.0,59125,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTMF1CB6MKD59009,32170.0,59848,Regular,4x2,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTFW1RG7HFB54566,59995.0,80595,SuperCrew,4x4,SRW,Gasoline,Automatic,Lighting Blue,Raptor,56865,
1FT7W2BTXMEC22182,59705.0,59204,Crew,4x4,SRW,Diesel,TorqShift 10-speed Automatic Transmission,Carbonized Gray,STX,,56
1FTFW1E50MKD23283,48270.0,59695,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XLT,,
1FT7W2BT1MEC22183,59705.0,59281,Crew,4x4,SRW,Diesel,TorqShift 10-speed Automatic Transmission,Stone Gray,STX,,56
1FTER1FH9MLD10683,36690.0,59933,Super,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Cactus Gray,XLT,,
1FTFX1E58MKD60725,44025.0,59863,Super,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTEW1EPXMFA29203,45720.0,59140,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTBF2A61LEE37289,37470.0,58505,Regular,4x2,SRW,Gasoline,TorqShift Heavy-Duty 6-speed SelectShift Automatic,Oxford White,XL,,56
1FT7X2B63MED31025,44115.0,59965,Super,4x4,SRW,Gasoline,TorqShift Heavy-Duty 6-speed SelectShift Automatic,Oxford White,XL,,56
1FTFW1E8XMFA61498,58610.0,59938,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Iconic Silver,XLT,,
1FTRF3BTXMEC32239,53070.0,59524,Regular,4x4,SRW,Diesel,TorqShift 10-speed Automatic Transmission,Oxford White,XL,,56
1FTEX1EP6LKE48524,41690.0,58126,Super,4x4,SRW,Gasoline,10-Speed SelectShift Automatic Transmission,Oxford White,XL,,
1FTFW1E81MFA61499,58610.0,59937,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Carbonized Gray,XLT,,
1FTEX1EP5MKD23290,42085.0,59506,Super,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
1FTER4FH1MLD11070,34415.0,59627,SuperCrew,4x4,SRW,Gasoline,Electronic Ten-Speed Automatic Transmission,Oxford White,XL,,
