VIN,price,Stock #,Mileage,Cab Type,Drivetrain,Fuel Type,Transmission,Color,Vehicle Trim,Rear Wheels,Cab-to-Axle
1N6AD0ER1HN714182,Call for Pricing,C714182,59000,Crew,4x2,Gasoline,5-Speed A/T,Brilliant Silver,SV V6,,
3GCUKSEC3FG401721,Call for Pricing,C401721,59006,Crew,4x4,Gasoline,automatic,Brownstone Metallic,LTZ,SRW,42
1FTEW1EG8GFC85716,34434.0,CC85716,117076,SuperCrew,4x4,Gasoline,6-Speed A/T,Ingot Silver Metallic,XLT,SRW,
1GC1KWE82GF198152,61413.0,C198152,55136,Crew,4x4,Diesel,Automatic,Summit White,LTZ,SRW,42
3GCNYAEH0KG198791,30130.0,C198791,32297,Regular,4x4,Flex Fuel,automatic,Summit White,Work Truck,SRW,55
1GCUYGEL9KZ117855,Call for Pricing,C117855,54607,Crew,4x4,Gasoline,automatic,Summit White,LTZ,SRW,33
1FTFW1EF0DFB83849,Call for Pricing,CB83849,101479,SuperCrew,4x4,Flex Fuel,6-Speed A/T,,XL,SRW,
1GCRYDED7LZ348994,Call for Pricing,348994,,Double,4x4,Gasoline,automatic,Summit White,LT,SRW,42
1GCUYEET0MZ228169,Call for Pricing,228169,,Crew,4x4,Diesel,automatic,Shadow Gray Metallic,RST,SRW,
1GC4YNEY5LF299525,Call for Pricing,C299525,12136,Crew,4x4,Diesel,automatic,Summit White,LT,SRW,42
1C6RR7VT6HS575929,39998.0,H575929,38809,Crew,4x4,Gasoline,Automatic,Bright White Clearcoat,Laramie,SRW,
1GCUYDET4MZ249682,48911.0,249682,,Crew,4x4,Diesel,automatic,Shadow Gray Metallic,LT,SRW,
1FTEW1EG9HFC09911,40474.0,HC09911,44492,SuperCrew,4x4,Gasoline,Automatic,Lithium Gray,XL,SRW,
3GCUYDET0MG208336,48969.0,208336,,Crew,4x4,Diesel,automatic,Silver Ice Metallic,LT,SRW,
1FTFW1ET3CFA90909,25492.0,CA90909,118807,Super,4x4,Gasoline,6-Speed A/T,Ingot Silver Metallic,XL,SRW,
1GNEK13Z24J236849,Call for Pricing,C236849,179149,Crew,4x4,Flex Fuel,4-Speed A/T,Summit White,LT,SRW,
5TFHY5F13CX247517,Call for Pricing,C247517,102906,Crew,4x4,Gasoline,6-Speed A/T,,LTD,,
1GCUYGEL3MZ262165,Call for Pricing,262165,,Crew,4x4,Gasoline,automatic,Summit White,LTZ,SRW,
1GC4K0C8XGF184884,Call for Pricing,FC184884,171026,Crew,4x4,Diesel,6-Speed A/T,Summit White,LTZ,,56
3GCPYBEK2MG249804,39052.0,249804,,Crew,4x4,Gasoline,automatic,Summit White,Custom,SRW,
3GCPYBEK5MG249800,39052.0,249800,,Crew,4x4,Gasoline,automatic,Silver Ice Metallic,Custom,SRW,
1GC4YPEY7MF184888,Call for Pricing,184888,,Crew,4x4,Diesel,automatic,Summit White,LTZ,SRW,
3GCPYBEK5MG153102,Call for Pricing,153102,,Crew,4x4,Gasoline,automatic,Shadow Gray Metallic,Custom,SRW,
1GC3YSE7XMF208266,Call for Pricing,F208266,,Regular,4x4,Gasoline,automatic,Summit White,Work Truck,,55
3GCPYBEK2MG250919,39052.0,250919,,Crew,4x4,Gasoline,automatic,Red Hot,Custom,SRW,
3GTU2UEH3EG292845,Call for Pricing,C292845,99781,Crew,4x4,Flex Fuel,6-Speed A/T,Sonoma Red Metallic,SLE,SRW,33
1FTFW1ED8MFB00814,49570.0,A26640,,SuperCrew,4x4,Hybrid,10-Speed Automatic,Black,XLT,SRW,
1FTER4FH1LLA99818,42032.0,Y25210,,SuperCrew,4x4,Gasoline,10-Speed Automatic,Black,Lariat,SRW,
1FTMF1CP4MKD08586,29500.0,A25340,,Regular,4x2,Gasoline,10-Speed Automatic,White,XL,SRW,
1FTEW1E59LKD97716,52250.0,Y24150,,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,White,Lariat,SRW,
1FTFW1E53JFA02259,36000.0,A37820,34093,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,White,XLT,SRW,
1FTFW1EF2GFC85870,35000.0,A38080,48819,SuperCrew,4x4,Flex Fuel,6-Speed Automatic Electronic,White,XLT,SRW,
1FTFW1ET3CFA39779,27000.0,A24561,86579,Super,4x4,Gasoline,6-Speed Automatic Electronic,Silver,Platinum,SRW,
1FTFW1E82MFA54139,72330.0,A26530,,SuperCrew,4x4,Gasoline,10-Speed Automatic,Gray,Platinum,SRW,
1FT8W3BT4KEF44324,57000.0,A37960,23772,Crew,4x4,Diesel,TorqShift 6-Speed Automatic,White,XL,SRW,56
1FTER4FH1MLD10890,37150.0,A25810,,SuperCrew,4x4,Gasoline,10-Speed Automatic,Green,XLT,SRW,
1FTEW1E44KKD74849,38000.0,A37390,27432,SuperCrew,4x4,Gasoline,10-Speed Automatic,Red,XLT,SRW,
1FT7W2BT1MEC82447,78760.0,A25800,,Crew,4x4,Diesel,10-Speed Automatic,White,King Ranch,SRW,56
1FTEW1E55KKC39677,36000.0,A37550,33849,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,White,XLT,SRW,
