VIN,predicted price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
3GCPWAEHXMG239509,43301.83,210846,Crew,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,White,WT
1C6SRFJTXMN698885,44763.67,C18375,Crew,4x4,SRW,Gasoline,8-Speed Automatic 8HP75 Transmission,Maximum Steel,LARAMIE CREW CAB 4X4 5'7 BOX
1C6SRFFT0MN697446,39452.0,C18354,Crew,4x4,SRW,Gasoline,8-Speed Automatic 8HP75 Transmission,Tank,BIG HORN CREW CAB 4X4 5'7 BOX
3C6UR5NL4MG582958,52152.17,C18360,Mega,4x4,SRW,Diesel,6-Speed Automatic 68RFE Transmission,Diamond Black Crystal Pearlcoat,LARAMIE MEGA CAB 4X4 6'4 BOX
3C6UR5NL6MG582959,52152.17,C18376,Mega,4x4,SRW,Diesel,6-Speed Automatic 68RFE Transmission,Granite Crystal,LARAMIE MEGA CAB 4X4 6'4 BOX
1C6RREJT7MN673841,38053.17,C18342,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Diamond Black Crystal Pearlcoat,Laramie
3C6UR5FL3MG584571,52811.67,C18348,Crew,4x4,SRW,Diesel,6-Speed Automatic 68RFE Transmission,Granite Crystal,LARAMIE CREW CAB 4X4 6'4 BOX
3C6UR5FL0MG584608,52811.67,C18365,Crew,4x4,SRW,Diesel,6-Speed Automatic 68RFE Transmission,Diamond Black Crystal Pearlcoat,LARAMIE CREW CAB 4X4 6'4 BOX
1C6SRFJT4MN698882,44763.67,C18389,Crew,4x4,SRW,Gasoline,8-Speed Automatic 8HP75 Transmission,Billet Silver,LARAMIE CREW CAB 4X4 5'7 BOX
1C6RR6FG3MS541081,33315.0,C18345,Quad,4x2,SRW,Gasoline,8-Speed Automatic 850RE Transmission,Bright White,TRADESMAN QUAD CAB 4X2 6'4 BOX
3C63RRJL5MG550562,52811.67,C18399,Crew,4x4,DRW,Diesel,6-Speed Automatic Aisin AS69RC HD Transmission,Granite Crystal,LARAMIE CREW CAB 4X4 8' BOX
1C6RREFT1MN691065,39452.0,C18352,Crew,4x2,SRW,Gasoline,8-Speed Automatic 8HP75 Transmission,Billet Silver,BIG HORN CREW CAB 4X2 5'7 BOX
1C6RREJT9MN673842,38053.17,C18343,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Granite Crystal,Laramie
1C6SRFJT6MN698883,44763.67,C18380,Crew,4x4,SRW,Gasoline,8-Speed Automatic 8HP75 Transmission,Bright White,LARAMIE CREW CAB 4X4 5'7 BOX
1C6RR6FG1MS541080,33315.0,C18341,Quad,4x2,SRW,Gasoline,8-Speed Automatic 850RE Transmission,Bright White,TRADESMAN QUAD CAB 4X2 6'4 BOX
1C6SRFJT8MN698884,44763.67,C18384,Crew,4x4,SRW,Gasoline,8-Speed Automatic 8HP75 Transmission,Diamond Black Crystal Pearlcoat,LARAMIE CREW CAB 4X4 5'7 BOX
3GCPWBEK3MG262714,42379.5,211251,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Red,Custom
3GCPYFED0MG277674,41068.33,211267,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Red,LT Trail Boss
1GC4YME74MF229405,51607.5,211309,Crew,4x4,SRW,Gasoline,6-Speed Automatic,Blue,Custom
1FTEW1EP9HKD89334,44075.67,30746,SuperCrew,4x4,SRW,Gasoline,6-Speed Automatic Electronic,Gray,XL
1GC4YUEY9MF223401,43723.33,211299,Crew,4x4,SRW,Diesel,10-Speed Automatic,White,LTZ
3GCPYFEDXMG274832,41068.33,211250,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Red,LT Trail Boss
3GCPYFED6MG269384,41068.33,211295,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Red,LT Trail Boss
